name,lat,lon,flood,landslides_debrisflow_mudslides,storm_surge,earthquake,tsunami,largescale_fire,inlandflooding,volcanic_phenomena
県立前橋女子高等学校,36.384236,139.065131,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
前橋公園,36.393574,139.060636,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
保健センター,36.386513,139.08977,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
県立前橋商業高等学校,36.376834,139.074272,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
前橋市総合福祉会館,36.398332,139.079656,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
県立勢多農林高等学校,36.395352,139.082296,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
日吉町1号公園,36.397667,139.076354,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
県立前橋清陵高等学校,36.377374,139.082624,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
敷島公園,36.415525,139.050465,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
上小出国体公園,36.414427,139.05687,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
市民文化会館,36.379923,139.071107,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
山形公園,36.405844,139.079996,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
大島公園,36.370952,139.107907,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
八幡山公園,36.366892,139.101416,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
上川淵公民館,36.363042,139.100836,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
県立前橋南高等学校,36.351503,139.083821,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
前橋市民体育館,36.364953,139.079727,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
前橋工科大学,36.363725,139.081476,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
前橋工科大運動場,36.363267,139.079706,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
ひろせ老人福祉センター,36.359513,139.110583,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
下川淵公民館,36.334146,139.092693,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
県立群馬産業技術センター,36.33415,139.086813,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
芳賀公民館,36.426548,139.108186,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
芳賀公園,36.420527,139.110755,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
桂萱公民館,36.393907,139.104403,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
荻窪南公園,36.41583,139.132599,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
桃ノ木川グランド,36.385951,139.113566,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
前橋こども公園,36.390184,139.084995,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
県立前橋高等学校,36.397369,139.096105,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
県立前橋工業高等学校,36.389475,139.118393,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
東公民館,36.373041,139.05112,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
新前橋公園,36.38003,139.049038,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
大利根中央公園,36.362857,139.060458,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
大利根緑地多目的広場,36.352018,139.070227,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
元総社公民館,36.39195,139.037295,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
おおとも老人福祉センター,36.388629,139.048587,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
さくら公園,36.388136,139.046972,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
明神東公園,36.387057,139.040052,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
群馬工業高等学校,36.376955,139.024206,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
利根川ダム統合管理事務所,36.379832,139.039602,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
大渡公園,36.395003,139.045829,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
総社公民館,36.407572,139.039725,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
王山運動場,36.39851,139.043968,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
総社2号団地公園,36.399874,139.044622,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
総社町5号公園,36.40862,139.028637,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
下小出中央公園,36.410999,139.067362,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
南橘公民館,36.428362,139.063522,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
しきしま老人福祉センター,36.421861,139.050615,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
群馬大学,36.430489,139.044633,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
関根公園,36.432933,139.042273,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
市立前橋高等学校,36.415891,139.085028,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
北部運動場,36.413922,139.082549,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
清里公民館,36.417942,139.013268,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
県立前橋西高等学校,36.418843,139.007651,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
清里方面運動場,36.414172,139.015654,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
市立前橋特別支援学校,36.387205,139.116699,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
下増田運動場,36.338667,139.164324,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
神沢の森公園,36.402343,139.178422,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
大室公園,36.388802,139.19606,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
城南工業団地公園,36.370244,139.186081,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
城南公民館,36.369293,139.157989,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
県立前橋東高等学校,36.376757,139.137148,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
前橋総合運動公園,36.377063,139.160773,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
大胡体育館,36.42363,139.164008,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
宮城体育館,36.442702,139.176212,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
消防団第18分団4部,36.41684,139.196286,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
膳城跡公園,36.423195,139.222324,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
富士見公民館,36.459164,139.079089,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
富士見地区農村環境改善センター,36.451692,139.087667,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
群馬県立森林公園赤城ふれあいの森,36.522807,139.145262,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
桃井小学校,36.388824,139.064102,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
中川小学校,36.38634,139.078698,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
敷島小学校,36.402862,139.065607,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
城南小学校,36.375439,139.074411,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
城東小学校,36.394433,139.079964,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
若宮小学校,36.405617,139.071214,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
天川小学校,36.378476,139.085628,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
岩神小学校,36.407317,139.056607,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
第一中学校,36.380372,139.065623,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
第三中学校,36.400201,139.06239,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
みずき中学校,36.401099,139.076225,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
第五中学校,36.379015,139.088102,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
広瀬小学校,36.357176,139.114435,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
山王小学校,36.34927,139.124724,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
わかば小学校,36.366368,139.096545,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
上川淵小学校,36.358101,139.090564,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
第七中学校,36.33998,139.10427,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
下川淵小学校,36.335727,139.094517,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
芳賀小学校,36.422712,139.104828,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
芳賀中学校,36.425422,139.110149,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
桂萱小学校,36.396082,139.105144,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
桃木小学校,36.403301,139.090977,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
桂萱東小学校,36.397373,139.130003,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
桃瀬小学校,36.385922,139.101335,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
桂萱中学校,36.395814,139.103593,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
東小学校,36.365562,139.05246,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
大利根小学校,36.359963,139.05915,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
新田小学校,36.361873,139.067314,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
東中学校,36.371677,139.055927,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
箱田中学校,36.360653,139.047283,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
元総社小学校,36.386094,139.038953,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
元総社南小学校,36.382398,139.043185,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
元総社北小学校,36.394887,139.03369,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
元総社中学校,36.394825,139.035256,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
総社小学校,36.408737,139.038014,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
勝山小学校,36.41422,139.041973,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
第六中学校,36.409454,139.035385,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
細井小学校,36.415507,139.075849,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
桃川小学校,36.430269,139.055303,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
荒牧小学校,36.428223,139.048287,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
南橘中学校,36.424183,139.060603,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
鎌倉中学校,36.414988,139.08367,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
清里小学校,36.417,139.012264,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
永明小学校,36.36874,139.122713,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
駒形小学校,36.346863,139.13644,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
荒子小学校,36.387748,139.164717,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
大室小学校,36.383464,139.192176,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
二之宮小学校,36.362105,139.168101,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
笂井小学校,36.360944,139.139154,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
木瀬中学校,36.363103,139.129391,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
荒砥中学校,36.380894,139.164931,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
大胡小学校,36.417225,139.156508,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
滝窪小学校,36.435457,139.138296,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
滝窪小学校金丸分校,36.465788,139.133774,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
大胡東小学校,36.419254,139.165955,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
大胡中学校,36.418348,139.156583,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
大胡公民館,36.423185,139.163812,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
宮城小学校,36.438656,139.178599,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
宮城中学校,36.442357,139.177473,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
宮城公民館,36.44131,139.178614,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
粕川小学校,36.411307,139.209702,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
月田小学校,36.432656,139.211402,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
粕川中学校,36.411025,139.214272,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
原小学校,36.445905,139.066644,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
時沢小学校,36.440031,139.092994,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
石井小学校,36.467227,139.083316,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
白川小学校,36.468272,139.108792,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
富士見中学校,36.455889,139.081401,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
富士見公民館,36.459207,139.079052,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
永明公民館,36.367414,139.122711,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
東ふれあい公園,36.373654,139.051411,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
粕川支所,36.414294,139.210471,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
国立赤城青少年交流の家,36.482404,139.126001,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
明桜中学校,36.362884,139.099151,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
ふじみ老人福祉センター,36.459425,139.079031,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
群馬医療福祉大学,36.355968,139.047328,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
かすかわ老人福祉センター,36.415134,139.214081,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
